id;name;natural_rating;desciption;inci_name;rating;categories
3;Bronopol;3;Jego zadaniem jest zapobieganie wzrostowi mikroorganizmów (bakterii, dro¿d¿y, pleœni) w preparacie gotowym. Uniemo¿liwia rozwój i przetrwanie mikroorganizmów w czasie przechowywania kosmetyku. Chroni produkt przed zaka¿eniem mikroorganizmami podczas u¿ywania, które mo¿emy wprowadziæ przy codziennym u¿ytkowaniu produktu (np. nabieraj¹c krem palcem). 2-bromo-2-nitropropane-1,3-diol jest bezpieczny do stosowania w produktach kosmetycznych w okreœlonym dozwolonym stê¿eniu i zgodnie z pozosta³ymi ograniczeniami. Rozporz¹dzenie 1223/2009: Sk³adnik dozwolony do stosowania w kosmetykach w ograniczonym stê¿eniu. Znajduje siê w wykazie substancji konserwuj¹cych dozwolonych do stosowania z ograniczeniami w produktach kosmetycznych (Za³¹cznik V Rozporz¹dzenia 1223/2009). Jego dopuszczalne maksymalne stê¿enie w gotowym produkcie to 0,1%. Cosmetic Ingredient Review: Raport CIR na temat 2-bromo-2-nitropropane-1,3-diolu zosta³ opublikowany w 1980 r. Stwierdzono, ¿e ten œrodek konserwuj¹cy jest bezpieczny jako sk³adnik kosmetyczny w stê¿eniach do 0,1%, z wyj¹tkiem okolicznoœci, w których jego dzia³anie z aminami lub amidami mo¿e powodowaæ tworzenie nitrozoamin lub nitrozoamidów. W 1984 r. w aneksie do raportu uwzglêdniono nowo dostêpne dane, w których zg³oszono stê¿enia do 1%. Panel ekspercki CIR potwierdzi³ ograniczenie stê¿enia na poziomie 0,1% i potrzebê unikania 2-bromo-2-nitropropane-1,3-diolu tam, gdzie mog³yby powstawaæ nitrozoaminy lub nitrozoamidy. Obecne maksymalne stê¿enie w preparatach kosmetycznych wynosi 0,1%. SCCS: Stwierdzono, ¿e niektóre konserwanty takie jak Bronopol i Bronidox, które s¹ stosowane w kosmetykach mog¹ byæ œrodkami nitrozuj¹cymi. Tak wiêc, ilekroæ te œrodki konserwuj¹ce s¹ u¿ywane ze zwi¹zkami aminowymi, nale¿y oczekiwaæ znacznego tworzenia nitrozoamin.;2-BROMO-2-NITROPROPANE-1,3-DIOL;3;{Konserwant}
4;Wosk pszczeli;2;"Wosk pszczeli by³ jednym z pierwszych tworzyw sztucznych, które zastosowano obok innych naturalnych polimerów, takich jak gutaperka, róg, skorupa ¿ó³wia i szelak. Wosk pszczeli jest szeroko stosowany od tysi¹cleci; znaleziono go w grobowcach Egiptu, na rozbitych statkach Wikingów oraz w rzymskich ruinach. W tym artykule przeprowadzimy Ciê przez zastosowanie wosku pszczelego w kosmetykach.

Pierwszy krem ??kosmetyczny zosta³ stworzony przez greckiego lekarza Galena w 150 rne. Krem sk³ada³ siê z wosku pszczelego, spermacetu, olejku migda³owego i wody ró¿anej. Poniewa¿ krem ??ch³odzi³ skórê, nazywano go kremem zimnym, ale te¿ zmiêkcza³ i nawil¿a³ skórê.

Wosk pszczeli to naturalny wosk wytwarzany w ulach pszczó³ miodnych Apis. „Wosk pszczeli” czy „Cera alba” – pod tymi nazwami odnajdziecie go w kompozycjach swoich kosmetyków. Jeœli krem ??zostanie stworzony na bazie wosku, to ten sk³adnik bêdzie wskazany w sk³adzie w pierwszych 5-10 sk³adnikach produktu kosmetycznego, aw pozosta³ych przypadkach - pod koniec.
Wosk pszczeli jest powszechnym sk³adnikiem wielu produktów kosmetycznych, w tym produktów dla dzieci, produktów do k¹pieli, balsamów do ust, szminek, b³yszczyków, cieni do powiek, produktów do w³osów, produktów do pielêgnacji paznokci i skóry, produktów do higieny osobistej i produktów do golenia, a tak¿e do opalania. Stosowanie wosku pszczelego do pielêgnacji ust pomaga leczyæ spierzchniête lub suche usta, a tak¿e zapobiega pêkaniu, szczególnie w ch³odniejszych miesi¹cach roku.

Wosk wprowadzony do kompozycji kosmetycznej zachowuje siê wyj¹tkowo neutralnie, nie wchodz¹c w ¿adne aktywne reakcje z innymi sk³adnikami preparatu. Doœæ czêsto wosk jest u¿ywany jako g³ówna baza (sk³adnik bazowy), a tak¿e jako lepki sk³adnik konserwuj¹cy.

Zalecana dawka dodatku do przepisu to 0,5-10%. W sk³adzie produktów ochronnych do twarzy œrednia dawka nie powinna przekraczaæ 1%, aw kosmetykach do skóry t³ustej - 0,5%.

Wosk pszczeli to naturalny produkt, który nie jest toksyczny dla ludzi. W preparatach do pielêgnacji skóry wosk pszczeli mo¿e dzia³aæ jako œrodek okluzyjny, tworz¹c barierê i chroni¹c skórê. Poniewa¿ wosk pszczeli ma nisk¹ zdolnoœæ komedogenn¹, nie zatyka porów tak mocno, jak inne œrodki okluzyjne, takie jak olej.

Wosk pszczeli ma wiele w³aœciwoœci:

Pomaga utrzymaæ nawil¿enie skóry i ma w³aœciwoœci antyalergiczne, co oznacza, ¿e ??mo¿na go stosowaæ na wra¿liwe typy skóry bez powodowania swêdzenia i suchoœci.
ma silne dzia³anie przeciwzapalne;
nie zatyka porów;
regeneruje skórê i odm³adza;
chroni w³osy i skórê przed szkodliwym dzia³aniem detergentów;
od¿ywia w³osy i nadaje im niepowtarzalny po³ysk.
usuwa œlady blizn i zmian potr¹dzikowych oraz poprawia wygl¹d skóry;
przywraca paznokcie;
dzia³a antycellulitowo.
Cera alba jest stosowana jako emulgator w preparatach do pielêgnacji skóry i pomaga stabilizowaæ olej w wodnych emulsjach, takich jak kremy i balsamy, w celu uzyskania kremowej konsystencji.

Wosk pszczeli dzia³a równie¿ jako œrodek emulguj¹cy, to znaczy, poprzez zmianê napiêcia miêdzyfazowego (woda i olej) sprzyja tworzeniu siê gêstych mieszanin miêdzy niemieszaj¹cymi siê cieczami. Ponadto wosk mo¿e tworzyæ na skórze, w³osach lub paznokciach ci¹g³y film i pe³niæ rolê zapachow¹ w kompozycjach perfum."; CERA ALBA (BEESWAX);1;{Emulgator, zagêstnik }
5;Heksandiol;3;"1,2-heksanodiol jest wysoce skutecznym i ³agodnym spoiwem i œrodkiem utrzymuj¹cym wilgoæ. Jest szczególnie przydatny do ³¹czenia produktów silikonowych i mo¿e byæ stosowany w ni¿szych stê¿eniach ni¿ wiele innych œrodków wi¹¿¹cych, zmniejszaj¹c w ten sposób prawdopodobieñstwo podra¿nieñ.

1,2-heksanodiol zawiera wiele substancji chemicznych, w tym: kwasy alfa-liponowe, przeciwutleniacz; chryzyna, przeciwzapalny bioflawonoid; diosgenina, która utrzymuje zdrowy poziom cholesterolu we krwi; chlorowodorek glukozaminy, który spowalnia zwyrodnienie stawów; oraz indol-3-karbinol, sk³adnik od¿ywczy, który mo¿e zapobiegaæ rakowi.

Powoduje alergie i podra¿nienia skóry. ";1,2-HEXANEDIOL;3;{Rozpuszczalnik, Solubilizator}
6;Dihydroksyaceton;2;"Dihydroksyaceton, znany równie¿ jako DHA lub gliceron, jest naturalnie wystêpuj¹cym cukrem trójwêglowym. W kosmetyce g³ówne komercyjne zastosowanie DHA to preparaty do opalania. Efekt opalania DHA jest spowodowany jego reakcj¹ z bia³kami powierzchniowymi skóry znajduj¹cymi siê w górnych warstwach skóry lub naskórka. Jako aktywny sk³adnik garbuj¹cy DHA reguluje intensywnoœæ koloru skóry.

Ni¿sze stê¿enia DHA powoduj¹ jaœniejsze zabarwienie skóry, co mo¿e nie byæ odpowiednie dla ciemniejszej karnacji, podczas gdy wy¿sze stê¿enia powoduj¹ ciemniejsze zabarwienie skóry, co mo¿e byæ skuteczne dla wszystkich rodzajów skóry.

Produkty DHA obejmuj¹ samoopalacze kremy i balsamy, o których wiadomo, ¿e maj¹ ograniczon¹ ochronê SPF lub nie maj¹ jej wcale. Z tego powodu zaleca siê stosowanie dodatkowego SPF, który zawiera fotoochronê UVA i UVB. Szybkoœæ i zasiêg opalania wywo³anego DHA zale¿y od bia³ek w naskórku i pH skóry. DHA jest ogólnie dobrze tolerowany. ";1-3 DIHYDROXYACETONE ;1;{Substancja aktywna}
7;Wyci¹g z klonu srebrzystego;1;"Dzia³a jako naturalny alfa-hydroksykwas w produktach do pielêgnacji skóry. Usuwa ze skóry bakterie i martwe osady, naprawiaj¹c uszkodzenia spowodowane przez wolne rodniki oraz zapobiegaj¹c powstawaniu nowych plam i zmarszczek.

Poniewa¿ ekstrakt z liœci klonu pochodzi z roœlin, jest ca³kowicie naturalny – ale to nie wszystko. Badania wykaza³y, ¿e sk³adniki liœci klonu mog¹ równie¿ chroniæ skórê przed stanami zapalnymi oraz leczyæ ciemne plamy i przebarwienia.

Syrop klonowy ma naturalne w³aœciwoœci nawil¿aj¹ce, które pomagaj¹ nawil¿yæ suche w³osy. Istnieje wiele ró¿nych rodzajów masek do w³osów, które zawieraj¹ syrop klonowy, który zapewnia nawil¿enie. Zastosowanie syropu klonowego jako maski mo¿e byæ g³êboko nawil¿aj¹ce. ";ACER SACCHARUM (SUGAR MAPLE) SAP EXTRACT;1;{Substancja aktywna, Ekstrakt}
8;Olej z nasion baobabu;1;"To olej pozyskiwany z suszonych nasion owoców drzewa Adansonia Digitata, znanego równie¿ jako drzewo baobabu. To drzewo jest uwa¿ane za najwiêksz¹ sukulenta na œwiecie i wystêpuje w RPA, Madagaskarze i Australii. Istniej¹ tylko dwa gatunki, Adansonia digitata i Adansonia kilima. Drzewa mog¹ ¿yæ do 2000 lat, mog¹ mieæ pieñ o d³ugoœci do 40 metrów, wysokoœæ do 60 metrów i przetrwaæ w najtrudniejszych warunkach.

Poniewa¿ ma tak wiele dobroczynnych w³aœciwoœci, jest powszechnie znane jako Drzewo ¯ycia. Kora, liœcie, nasiona i mi¹¿sz s¹ wykorzystywane jako pokarm w tradycyjnych lekach i s¹ bogate w wapñ, ¿elazo, potas, a szczególnie w witaminê C.

Olejek z baobabu powstaje z nasion owoców, które s¹ ekstrahowane i suszone na s³oñcu. Olej z nasion baobabu by³ stosowany miejscowo od czasów staro¿ytnych i od dawna wiadomo, ¿e zapewnia naturalne korzyœci dla naszej skóry.

Ekstrakt z liœci i owoców baobabu jest bogaty w witaminê C i bogaty w sk³adniki od¿ywcze. Olej z nasion jest bogaty w bia³ko i t³uszcz, zawiera wszystkie trzy kwasy t³uszczowe omega, które s¹ bardzo korzystne dla w³osów: omega 3, 6 i 9, a tak¿e dwa rzadkie kwasy t³uszczowe wraz z kilkoma witaminami, które wspieraj¹ skórê i w³osy. Olejek jest bogaty we flawonoidy, fitosterole, aminokwasy, kwasy t³uszczowe, witaminy i minera³y.

Wykazano, ¿e ekstrakty z owoców i nasion baobabu maj¹ w³aœciwoœci przeciwutleniaj¹ce i przeciwzapalne. ";ADANSONIA DIGITATA SEED OIL;1;{Emolient}
9;Wyci¹g/ ekstrakt z syropu agawy;1;"Jest substancj¹ filmotwórcz¹ o wyj¹tkowym dzia³aniu, pozyskiwan¹ z naturalnego i odnawialnego Ÿród³a – nektaru z niebieskiej agawy (nazwa botaniczna Agave Tequilana).

Naturalne polisacharydy z Agave Tequilana daj¹ emulsjom, balsamom, serum i ¿elom delikatne wra¿enia dotykowe po na³o¿eniu na skórê. Te polisacharydy daj¹ formulatorowi nieskoñczon¹ gamê niesamowitych efektów na skórze:

    Wzmocniona naturalna alternatywa dla sk³adników silikonowych
    D³ugotrwa³e delikatne uczucie skóry
    Wzbogaca kompozycje wodne (¿ele, toniki, serum)
    Delikatne zmiêkczenie skóry: natychmiastowe i d³ugotrwa³e
    Ulepszona aplikacja na skórê
Zastosowanie

    Kremy do twarzy
    Œrodki przeciwstarzeniowe
    Produkty przeciwzmarszczkowe
    ¯ele po goleniu
    Maski na twarz
    Balsamy do cia³a
    Kremy pod oczy
    kremy BB
    Balsamy ";AGAVE TEQUILANA LEAF EXTRACT;1;{Substancja aktywna, Ekstrakt}
10;Ekstrakt z kory albicji bia³o-ró¿owej;1;"Albizia julibrissin, znana równie¿ jako drzewo jedwabne lub mimoza z Konstantynopola, jest drzewem pochodz¹cym z Azji Wschodniej i Ameryki Po³udniowej, ale jest rozprowadzany przez ludzi na prawie wszystkich kontynentach. Ró¿ne renomowane czasopisma donosz¹ o w³aœciwoœciach przeciwutleniaj¹cych, przeciwnowotworowych i przeciwzapalnych.

Ekstrakty z Albizia Julibrissin lub Albizzia Lebbeck wp³ywaj¹ na jedn¹ z najwa¿niejszych przyczyn starzenia – proces zwany glikacj¹. Glukoza jest niezbêdnym paliwem komórkowym, ale mo¿e równie¿ powodowaæ uszkodzenia poprzez losowe reakcje z bia³kami i DNA. Kiedy tak siê dzieje, nazywa siê to glikacj¹ i mo¿e to mieæ negatywne konsekwencje. Glikowane enzymy czêsto nie dzia³aj¹ tak, jak powinny, w przeciwnym razie glikowane bia³ko mo¿e straciæ swój kszta³t i staæ siê niestabilne.

W przypadku skóry glikacja prowadzi do sieciowania, czyli tworzenia mostków chemicznych miêdzy bia³kami lub innymi du¿ymi cz¹steczkami. Usieciowany materia³ zwykle staje siê twardszy, mniej elastyczny i ma tendencjê do pêkania lub pêkania. Szwy s¹ równe pomarszczonej skórze. ";ALBIZIA JULIBRISSIN BARK EXTRACT;1;{Substancja aktywna, Ekstrakt}
11;Alkohol;3;"Alkohol etylowy jest tani i jest u¿ywany jako konserwant, rozpuszczalnik i przewodnik dla innych komponentów. Czêsto mo¿na go znaleŸæ w produktach dla skóry problematycznej.

 Produkty zawieraj¹ce ten alkohol rzeczywiœcie bêd¹ mia³y dzia³anie wysuszaj¹ce, ale tylko po raz pierwszy. Co póŸniej dzieje siê ze skór¹? Alkohol etylowy mo¿e prowadziæ do wzrostu wolnych rodników w skórze, nastêpnie stymuluje zakoñczenia nerwowe, powoduje podra¿nienia, co dalej prowadzi do aktywnej produkcji sebum, z którego powstaj¹ nowe elementy zapalne i zaburzona jest naturalna mikroflora skóry .

 Wa¿ne jest, aby zrozumieæ, gdzie alkohol znajduje siê w kompozycji. Jeœli na pocz¹tku - ma to negatywny wp³yw na wszystkie rodzaje skóry. Jeœli na koniec, to nie jest to krytyczne, a skóra mo¿e nie reagowaæ. Jednak na rynku jest ju¿ wystarczaj¹co du¿o produktów, które wykorzystuj¹ w swoim sk³adzie inne bezpieczne rozpuszczalniki. ";ALCOHOL;3;{Konserwant, Substancja antyseptyczna, Substancja aktywna}
12;Algin;2;"Algin to sól sodowa kwasu alginowego, substancji pochodz¹cej z wodorostów morskich
Algin jest u¿ywany jako naturalny zagêszczacz. Ma pozytywny wp³yw na skórê:
• Nawil¿a skórê twarzy;
• Pobudza kr¹¿enie krwi;
• G³êboko oczyszcza i nawil¿a skórê twarzy.

Algin jest stosowany w medycynie jako œrodek antyseptyczny, dziêki czemu dobrze radzi sobie z problematyczn¹ skór¹. Po zastosowaniu alginu skóra staje siê œwie¿sza, g³adsza i bardziej aksamitna.
Z alginu wykonane s¹ równie¿ maski, które zapewniaj¹ g³êbokie nawil¿enie skóry twarzy. Kosmetolodzy uwa¿aj¹ maski alginianowe za niezbêdny preparat w arsenale kosmetologa, poniewa¿ algin mo¿e skutecznie wyg³adziæ drobne zmarszczki i nadaæ skórze œwie¿y wygl¹d. ";ALGIN;1;{Zagêstnik, Substancja aktywna}
